horizon,variable,shock,variance_share
28,robs,eb,0.07915101859934796
28,robs,eg,0.008237453646834023
28,robs,eqs,0.043808560213113995
28,robs,em,0.23150673714081496
28,robs,epinf,91.91217113501182
28,robs,ew,7.620198069613682
29,dy,ea,0.8312911300206757
29,dy,eb,4.972286738617701
29,dy,eg,6.571439321574554
29,dy,eqs,2.343953997263303
29,dy,em,3.5922710527932047
29,dy,epinf,76.57772468501595
29,dy,ew,5.111033074714599
29,pinfobs,ea,0.00652627735826656
29,pinfobs,eb,0.0005950379341016697
29,pinfobs,eg,0.0003775903747684078
29,pinfobs,eqs,0.0005060372417355675
29,pinfobs,em,0.018280449974574117
29,pinfobs,epinf,93.02248422512271
29,pinfobs,ew,6.951230381993836
29,robs,ea,0.10174020315393184
29,robs,eb,0.07669956237367506
29,robs,eg,0.008007098059312243
29,robs,eqs,0.042502131659206036
29,robs,em,0.22433653902456321
29,robs,epinf,91.89973413767147
29,robs,ew,7.646980328057838
30,dy,ea,0.8334617054035983
30,dy,eb,4.972055987727222
30,dy,eg,6.571137226584149
30,dy,eqs,2.3439034205022193
30,dy,em,3.5926558349429616
30,dy,epinf,76.57441060392105
30,dy,ew,5.112375220918812
30,pinfobs,ea,0.006368571980561777
30,pinfobs,eb,0.0005800791770757134
30,pinfobs,eg,0.00037276165244135685
30,pinfobs,eqs,0.0004995938357105747
30,pinfobs,em,0.017822025362897145
30,pinfobs,epinf,93.0027460361155
30,pinfobs,ew,6.971610931875823
30,robs,ea,0.09874966159402777
30,robs,eb,0.07439918722930557
30,robs,eg,0.007790814535445486
30,robs,eqs,0.04127934443838854
30,robs,em,0.21760808635181242
30,robs,epinf,91.8894848207282
30,robs,ew,7.670688085122832
31,dy,ea,0.8354056000489577
31,dy,eb,4.971887179278212
31,dy,eg,6.570917719728897
31,dy,eqs,2.3438661928733757
31,dy,em,3.5929265480506
31,dy,epinf,76.57179810114161
31,dy,ew,5.113198658878347
31,pinfobs,ea,0.0062188318819388
31,pinfobs,eb,0.000565881547669327
31,pinfobs,eg,0.0003681037044385539
31,pinfobs,eqs,0.0004937021662064022
31,pinfobs,em,0.017386168772987702
31,pinfobs,epinf,92.98485940808717
31,pinfobs,ew,6.9901079038395775
31,robs,ea,0.0959353737919229
31,robs,eb,0.07223433030873815
31,robs,eg,0.007587131631507505
31,robs,eqs,0.040130877205160655
31,robs,em,0.21127676119640265
31,robs,epinf,91.88128086641929
31,robs,ew,7.69155465944698
32,dy,ea,0.8371377063767274
32,dy,eb,4.9717472504120614
32,dy,eg,6.570736792737946
32,dy,eqs,2.3438308497749687
32,dy,em,3.5931015970199565
32,dy,epinf,76.56979283360096
32,dy,ew,5.113652970077379
32,pinfobs,ea,0.006076410820523195
32,pinfobs,eb,0.0005523836393188478
32,pinfobs,eg,0.0003636080986612698
32,pinfobs,eqs,0.0004882530553562276
32,pinfobs,em,0.01697135266721689
32,pinfobs,epinf,92.96868710339972
32,pinfobs,ew,7.006860888319219
32,robs,ea,0.09328017427959963
32,robs,eb,0.0701916998822325
32,robs,eg,0.007394795624332682
32,robs,eqs,0.03904879794711214
32,robs,em,0.20530418399163858
32,robs,epinf,91.87498223853363
32,robs,ew,7.709798109741452
33,dy,ea,0.8386746744290599
33,dy,eb,4.971617425331214
33,dy,eg,6.570569433599991
