horizon,variable,shock,variance_share
15,pinfobs,em,0.22900565156159491
15,pinfobs,epinf,93.81637684045872
15,pinfobs,ew,5.256685402804432
15,robs,ea,0.06447762799120348
15,robs,eb,2.5724873328931626
15,robs,eg,0.0111554757115846
15,robs,eqs,0.33475366727416045
15,robs,em,2.1099973416543483
15,robs,epinf,88.86013073140748
15,robs,ew,6.04699782306805
16,dy,ea,1.3947262876722752
16,dy,eb,46.86481453496249
16,dy,eg,2.366034156420432
16,dy,eqs,10.554250904757339
16,dy,em,8.532506263634547
16,dy,epinf,27.453586227134018
16,dy,ew,2.834081625418878
16,pinfobs,ea,0.037183247944600824
16,pinfobs,eb,0.4701710614389782
16,pinfobs,eg,0.001926973901234485
16,pinfobs,eqs,0.19277943343672763
16,pinfobs,em,0.2348177319319761
16,pinfobs,epinf,93.8872102925279
16,pinfobs,ew,5.175911258818592
16,robs,ea,0.06048243948138108
16,robs,eb,2.392257137787004
16,robs,eg,0.010374653620651703
16,robs,eqs,0.31609144659856975
16,robs,em,1.9842957998919115
16,robs,epinf,89.28687066355563
16,robs,ew,5.949627859064844
17,dy,ea,1.396315517925115
17,dy,eb,46.855403147082455
17,dy,eg,2.3654278999089238
17,dy,eqs,10.551500759352004
17,dy,em,8.538063442549745
17,dy,epinf,27.459953334047917
17,dy,ew,2.8333358991338335
17,pinfobs,ea,0.036069594441586056
17,pinfobs,eb,0.46576848045385405
17,pinfobs,eg,0.0018499752587254191
17,pinfobs,eqs,0.19686095770289502
17,pinfobs,em,0.23981748306115747
17,pinfobs,epinf,93.96685073791264
17,pinfobs,ew,5.0927827711691345
17,robs,ea,0.057005410197383505
17,robs,eb,2.237709664181393
17,robs,eg,0.009692104218011099
17,robs,eqs,0.30175848774429276
17,robs,em,1.8750026750336775
17,robs,epinf,89.675062284623
17,robs,ew,5.843769374002237
18,dy,ea,1.3978324608096584
18,dy,eb,46.85165904431543
18,dy,eg,2.365005967674759
18,dy,eqs,10.549587462072026
18,dy,em,8.54087064526327
18,dy,epinf,27.461533048465608
18,dy,ew,2.8335113713992404
18,pinfobs,ea,0.03505356153900825
18,pinfobs,eb,0.45881186569857246
18,pinfobs,eg,0.0017793955467828978
18,pinfobs,eqs,0.19918793328754475
18,pinfobs,em,0.24389614009725025
18,pinfobs,epinf,94.05287524507496
18,pinfobs,ew,5.008395858755875
18,robs,ea,0.053960723585056304
18,robs,eb,2.103344219653689
18,robs,eg,0.00909034470189115
18,robs,eqs,0.2907040844548499
18,robs,em,1.7787835837689818
18,robs,epinf,90.03200489802624
18,robs,ew,5.732112145809291
19,dy,ea,1.3991900050661306
19,dy,eb,46.85006702641097
19,dy,eg,2.3646552579208313
19,dy,eqs,10.54806256348724
19,dy,em,8.541977665259543
19,dy,epinf,27.460850332300247
19,dy,ew,2.8351971495550505
19,pinfobs,ea,0.03411947712027011
19,pinfobs,eb,0.4501674168234567
19,pinfobs,eg,0.0017144134415959448
19,pinfobs,eqs,0.2001058138661766
19,pinfobs,em,0.24704319805699584
19,pinfobs,epinf,94.14322884879215
19,pinfobs,ew,4.923620831899338
19,robs,ea,0.05128036307069716
19,robs,eb,1.9849836491138182
19,robs,eg,0.008555905028240433
19,robs,eqs,0.28205974775118586
19,robs,em,1.6931308996137353
19,robs,epinf,90.36313517177386
19,robs,ew,5.616854263648471
20,dy,ea,1.400371291201492
20,dy,eb,46.848788536289014
20,dy,eg,2.3643369641090266
20,dy,eqs,10.546708810043201
20,dy,em,8.542122781101039
20,dy,epinf,27.459214537760168
20,dy,ew,2.838457079496055
20,pinfobs,ea,0.033254686245720345
